測站                  ,日期                  ,測項                  ,00                             ,01                             ,02                             ,03                             ,04                             ,05                             ,06                             ,07                             ,08                             ,09                             ,10                             ,11                             ,12                             ,13                             ,14                             ,15                             ,16                             ,17                             ,18                             ,19                             ,20                             ,21                             ,22                             ,23                             
臺東                  ,2020/07/04 00:00:00 ,PM10                ,5                              ,5                              ,5                              ,5                              ,14                             ,13                             ,11                             ,12                             ,5                              ,10                             ,5                              ,5                              ,5                              ,5                              ,5                              ,5                              ,5                              ,11                             ,13                             ,16                             ,13                             ,10                             ,10                             ,5                              
臺東                  ,2020/07/04 00:00:00 ,PM2.5               ,1                              ,1                              ,1                              ,2                              ,5                              ,2                              ,1                              ,1                              ,1                              ,1                              ,1                              ,1                              ,2                              ,2                              ,1                              ,2                              ,2                              ,1                              ,2                              ,2                              ,3                              ,4                              ,2                              ,1                              
臺東                  ,2020/07/04 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/07/04 00:00:00 ,RH                  ,78.9                           ,79.7                           ,81.1                           ,81.8                           ,82.3                           ,81.9                           ,77.2                           ,69.9                           ,58.9                           ,63.2                           ,65.4                           ,66.5                           ,65.2                           ,65.6                           ,65.3                           ,69.4                           ,71                             ,72.5                           ,74.8                           ,75.3                           ,76.5                           ,76.6                           ,76.6                           ,77.8                           
臺東                  ,2020/07/04 00:00:00 ,SO2                 ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,1                              ,1                              ,1                              ,1                              ,1                              ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,1                              ,1                              ,0.5                            ,0.5                            ,0.5                            ,0.5                            ,0.5                            
臺東                  ,2020/07/04 00:00:00 ,WD_HR               ,140                            ,214                            ,298                            ,326                            ,322                            ,318                            ,320                            ,321                            ,149                            ,126                            ,136                            ,145                            ,165                            ,206                            ,223                            ,199                            ,203                            ,205                            ,224                            ,207                            ,228                            ,224                            ,258                            ,320                            
臺東                  ,2020/07/04 00:00:00 ,WIND_DIREC          ,170                            ,217                            ,326                            ,322                            ,346                            ,324                            ,322                            ,312                            ,154                            ,128                            ,148                            ,132                            ,197                            ,225                            ,220                            ,190                            ,201                            ,205                            ,194                            ,228                            ,219                            ,218                            ,302                            ,314                            
臺東                  ,2020/07/04 00:00:00 ,WIND_SPEED          ,1.02                           ,1.03                           ,0.67                           ,0.91                           ,0.81                           ,0.82                           ,1.57                           ,1.49                           ,1.81                           ,1.9                            ,2.14                           ,1.79                           ,2.39                           ,3.41                           ,2.66                           ,2.01                           ,1.71                           ,1.72                           ,1.64                           ,1.75                           ,1.58                           ,1.32                           ,0.86                           ,1.29                           
臺東                  ,2020/07/04 00:00:00 ,WS_HR               ,0.5                            ,1.05                           ,0.45                           ,0.68                           ,0.86                           ,0.91                           ,1.13                           ,1.03                           ,0.7                            ,1.46                           ,1.61                           ,1.47                           ,1.32                           ,2.17                           ,2.72                           ,1.76                           ,1.46                           ,1.1                            ,1.81                           ,1.27                           ,1.47                           ,1.42                           ,0.84                           ,0.79                           
臺東                  ,2020/07/05 00:00:00 ,AMB_TEMP            ,29                             ,28.7                           ,28.4                           ,28.2                           ,27.8                           ,27.5                           ,28.4                           ,30.1                           ,31.8                           ,32.1                           ,32.8                           ,33                             ,32.7                           ,32.9                           ,33.2                           ,32.5                           ,31.8                           ,31.5                           ,30.9                           ,30.8                           ,30.3                           ,30.1                           ,29.9                           ,29.6                           
臺東                  ,2020/07/05 00:00:00 ,CO                  ,0.14                           ,0.14                           ,0.14                           ,0.14                           ,0.15                           ,0.17                           ,0.19                           ,0.19                           ,0.35                           ,0.26                           ,0.25                           ,0.25                           ,0.21                           ,0.18                           ,0.2                            ,0.19                           ,0.21                           ,0.24                           ,0.28                           ,0.24                           ,0.2                            ,0.18                           ,0.16                           ,0.15                           
臺東                  ,2020/07/05 00:00:00 ,NO                  ,0.3                            ,0.3                            ,0.3                            ,0                              ,0.3                            ,0.3                            ,0.9                            ,1.6                            ,1.8                            ,1.7                            ,1.5                            ,1.8                            ,1.7                            ,1.5                            ,1.8                            ,1.7                            ,1.5                            ,1.2                            ,1                              ,0.6                            ,0.9                            ,0.3                            ,0.3                            ,0                              
臺東                  ,2020/07/05 00:00:00 ,NO2                 ,3.2                            ,2.7                            ,2.4                            ,3.1                            ,2.8                            ,2.4                            ,1.9                            ,1.8                            ,2.9                            ,2.5                            ,2.4                            ,2.4                            ,1.9                            ,1.9                            ,2.4                            ,2.5                            ,2.9                            ,2.9                            ,3.5                            ,3.7                            ,3.4                            ,2.6                            ,2.2                            ,1.9                            
臺東                  ,2020/07/05 00:00:00 ,NOx                 ,3.7                            ,3                              ,2.5                            ,3                              ,3                              ,2.7                            ,2.8                            ,3.4                            ,4.7                            ,4.2                            ,3.9                            ,4.2                            ,3.6                            ,3.4                            ,4.2                            ,4.2                            ,4.4                            ,4.1                            ,4.5                            ,4.3                            ,4.3                            ,2.9                            ,2.3                            ,1.6                            
臺東                  ,2020/07/05 00:00:00 ,O3                  ,10.6                           ,10.7                           ,8.9                            ,6.8                            ,5.9                            ,6.3                            ,7.7                            ,11.5                           ,18.6                           ,19.4                           ,19.9                           ,20.8                           ,19.9                           ,19.5                           ,20.6                           ,19.4                           ,19.4                           ,20                             ,18.4                           ,16.8                           ,16.1                           ,15.9                           ,16.1                           ,16.8                           
臺東                  ,2020/07/05 00:00:00 ,PM10                ,5                              ,11                             ,10                             ,5                              ,17                             ,18                             ,16                             ,15                             ,12                             ,5                              ,5                              ,5                              ,5                              ,10                             ,14                             ,17                             ,22                             ,27                             ,17                             ,16                             ,13                             ,12                             ,5                              ,12                             
臺東                  ,2020/07/05 00:00:00 ,PM2.5               ,1                              ,1                              ,1                              ,3                              ,4                              ,1                              ,1                              ,1                              ,1                              ,2                              ,1                              ,1                              ,1                              ,2                              ,1                              ,1                              ,3                              ,3                              ,3                              ,2                              ,3                              ,3                              ,1                              ,1                              
臺東                  ,2020/07/05 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/07/05 00:00:00 ,RH                  ,79.6                           ,80.8                           ,81.6                           ,81.7                           ,81.7                           ,80.7                           ,73.6                           ,66.7                           ,63.3                           ,64.8                           ,63.6                           ,64.8                           ,67.3                           ,66                             ,65.2                           ,67.5                           ,70.6                           ,71.9                           ,73.5                           ,73.8                           ,77.1                           ,76.5                           ,75                             ,75.4                           
臺東                  ,2020/07/05 00:00:00 ,SO2                 ,1.2                            ,1                              ,1                              ,1                              ,1                              ,1                              ,1                              ,1                              ,1.1                            ,1.1                            ,1.1                            ,1.1                            ,1                              ,1                              ,1                              ,1                              ,0.5                            ,1                              ,1                              ,1                              ,1                              ,1                              ,1                              ,0.5                            
臺東                  ,2020/07/05 00:00:00 ,WD_HR               ,324                            ,320                            ,309                            ,317                            ,322                            ,316                            ,318                            ,318                            ,187                            ,192                            ,185                            ,185                            ,179                            ,191                            ,193                            ,194                            ,209                            ,206                            ,179                            ,3                              ,1                              ,341                            ,344                            ,342                            
臺東                  ,2020/07/05 00:00:00 ,WIND_DIREC          ,330                            ,309                            ,312                            ,319                            ,314                            ,325                            ,321                            ,222                            ,180                            ,193                            ,196                            ,190                            ,177                            ,203                            ,176                            ,204                            ,213                            ,212                            ,112                            ,1                              ,3                              ,332                            ,337                            ,325                            
臺東                  ,2020/07/05 00:00:00 ,WIND_SPEED          ,0.74                           ,0.99                           ,0.8                            ,0.91                           ,1.14                           ,0.96                           ,1.29                           ,1.16                           ,1.89                           ,2.18                           ,2.27                           ,2.69                           ,2.45                           ,2.57                           ,2.45                           ,2.1                            ,1.91                           ,1.97                           ,0.8                            ,1.45                           ,1.1                            ,1.42                           ,1.3                            ,1.38                           
臺東                  ,2020/07/05 00:00:00 ,WS_HR               ,0.72                           ,0.88                           ,0.8                            ,0.65                           ,0.84                           ,0.98                           ,1.1                            ,0.77                           ,0.94                           ,1.55                           ,1.44                           ,1.71                           ,1.98                           ,2.08                           ,1.97                           ,1.83                           ,1.43                           ,1.42                           ,0.89                           ,0.83                           ,1.04                           ,1.04                           ,0.94                           ,1.06                           
臺東                  ,2020/07/06 00:00:00 ,AMB_TEMP            ,29.2                           ,28.9                           ,28.6                           ,28.4                           ,28.1                           ,28.1                           ,29                             ,31.1                           ,32.4                           ,33.2                           ,33                             ,33.4                           ,33.4                           ,33.9                           ,34.3                           ,34.3                           ,34.1                           ,33                             ,32.7                           ,31.7                           ,31.4                           ,31.4                           ,31.2                           ,30.6                           
臺東                  ,2020/07/06 00:00:00 ,CO                  ,0.15                           ,0.11                           ,0.11                           ,0.11                           ,0.12                           ,0.16                           ,0.19                           ,0.26                           ,0.35                           ,0.25                           ,0.19                           ,0.2                            ,0.2                            ,0.16                           ,0.19                           ,#                              ,0.26                           ,0.25                           ,0.23                           ,0.21                           ,0.16                           ,0.17                           ,0.27                           ,0.19                           
臺東                  ,2020/07/06 00:00:00 ,NO                  ,0                              ,0.9                            ,0.5                            ,0.7                            ,0.9                            ,1.2                            ,1.7                            ,2.8                            ,3.3                            ,4.4                            ,2.7                            ,2.9                            ,2.6                            ,2.4                            ,2.8                            ,#                              ,3.4                            ,1.9                            ,1.9                            ,1.7                            ,1.5                            ,1.1                            ,1.3                            ,1.1                            
臺東                  ,2020/07/06 00:00:00 ,NO2                 ,1.7                            ,2.2                            ,2.7                            ,3.3                            ,4.4                            ,4.7                            ,3.3                            ,4.2                            ,3.6                            ,3.6                            ,1.9                            ,2                              ,2                              ,1.7                            ,2.2                            ,#                              ,4.9                            ,4.4                            ,4.5                            ,4                              ,3                              ,3.5                            ,5.1                            ,4.9                            
臺東                  ,2020/07/06 00:00:00 ,NOx                 ,1.7                            ,3.1                            ,3.2                            ,4                              ,5.4                            ,5.9                            ,5                              ,7                              ,6.9                            ,8.1                            ,4.5                            ,4.9                            ,4.6                            ,4.1                            ,5                              ,#                              ,8.3                            ,6.2                            ,6.4                            ,5.7                            ,4.5                            ,4.6                            ,6.4                            ,6                              
臺東                  ,2020/07/06 00:00:00 ,O3                  ,12.4                           ,9.9                            ,8.1                            ,6.7                            ,7                              ,10                             ,11.9                           ,18.8                           ,19.3                           ,17.2                           ,20.4                           ,18.3                           ,17.7                           ,17.1                           ,16.1                           ,15.7                           ,17.8                           ,#                              ,15.6                           ,16.1                           ,18.9                           ,18.6                           ,15.3                           ,13.1                           
臺東                  ,2020/07/06 00:00:00 ,PM10                ,13                             ,15                             ,18                             ,12                             ,16                             ,21                             ,15                             ,10                             ,20                             ,18                             ,23                             ,24                             ,24                             ,25                             ,28                             ,35                             ,24                             ,#                              ,30                             ,28                             ,23                             ,20                             ,31                             ,28                             
臺東                  ,2020/07/06 00:00:00 ,PM2.5               ,1                              ,2                              ,2                              ,1                              ,1                              ,6                              ,8                              ,8                              ,4                              ,1                              ,2                              ,4                              ,3                              ,2                              ,1                              ,3                              ,3                              ,3                              ,#                              ,5                              ,7                              ,5                              ,3                              ,6                              
臺東                  ,2020/07/06 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,#                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/07/06 00:00:00 ,RH                  ,76.1                           ,76.4                           ,77.5                           ,78.8                           ,77.1                           ,75.2                           ,72.6                           ,64.5                           ,62.4                           ,63.6                           ,65.6                           ,63.2                           ,63.8                           ,60.6                           ,56.9                           ,58.4                           ,59.5                           ,64                             ,64.6                           ,70                             ,69.3                           ,67.4                           ,70.7                           ,75.4                           
臺東                  ,2020/07/06 00:00:00 ,SO2                 ,0.5                            ,1.4                            ,1.5                            ,1.6                            ,2.2                            ,2.3                            ,1.9                            ,2.2                            ,1.5                            ,1.4                            ,1.4                            ,1.5                            ,1.5                            ,1.5                            ,1.6                            ,#                              ,1.4                            ,1.4                            ,1.4                            ,1.4                            ,1.4                            ,1.4                            ,1.4                            ,1.4                            
臺東                  ,2020/07/06 00:00:00 ,WD_HR               ,310                            ,296                            ,319                            ,320                            ,264                            ,308                            ,289                            ,222                            ,221                            ,189                            ,193                            ,188                            ,189                            ,189                            ,193                            ,195                            ,194                            ,84                             ,24                             ,24                             ,349                            ,329                            ,191                            ,221                            
臺東                  ,2020/07/06 00:00:00 ,WIND_DIREC          ,297                            ,315                            ,300                            ,301                            ,305                            ,311                            ,229                            ,226                            ,221                            ,189                            ,185                            ,192                            ,178                            ,186                            ,192                            ,208                            ,147                            ,29                             ,32                             ,21                             ,351                            ,140                            ,215                            ,222                            
臺東                  ,2020/07/06 00:00:00 ,WIND_SPEED          ,1.51                           ,0.94                           ,1.01                           ,0.77                           ,0.85                           ,1.24                           ,2.06                           ,3.38                           ,3.19                           ,3.5                            ,3.79                           ,3.58                           ,3.59                           ,3.93                           ,3.57                           ,3.59                           ,2.32                           ,1.97                           ,2.41                           ,1.85                           ,1.67                           ,1.02                           ,0.79                           ,1.2                            
臺東                  ,2020/07/06 00:00:00 ,WS_HR               ,1.15                           ,0.83                           ,0.53                           ,0.61                           ,0.59                           ,0.57                           ,0.74                           ,2.21                           ,2.78                           ,2.43                           ,3.28                           ,3.26                           ,3.04                           ,3.14                           ,2.9                            ,2.57                           ,1.92                           ,1.28                           ,1.89                           ,1.46                           ,1.27                           ,0.4                            ,0.52                           ,0.97                           
臺東                  ,2020/07/07 00:00:00 ,AMB_TEMP            ,30.3                           ,29.9                           ,29.5                           ,29.1                           ,28.9                           ,29                             ,29.7                           ,31.2                           ,31.6                           ,32.3                           ,33.7                           ,33.5                           ,33.7                           ,34                             ,33.9                           ,34.1                           ,33.4                           ,32.8                           ,31.7                           ,31.1                           ,31                             ,31.1                           ,30.8                           ,30.4                           
臺東                  ,2020/07/07 00:00:00 ,CO                  ,0.18                           ,0.15                           ,0.13                           ,0.12                           ,0.12                           ,0.14                           ,0.17                           ,0.22                           ,0.23                           ,0.22                           ,0.23                           ,0.26                           ,0.21                           ,0.17                           ,0.2                            ,0.21                           ,0.23                           ,0.29                           ,0.21                           ,0.24                           ,0.2                            ,0.31                           ,0.25                           ,0.16                           
臺東                  ,2020/07/07 00:00:00 ,NO                  ,3                              ,0                              ,0.3                            ,0                              ,0.3                            ,0.3                            ,1.1                            ,1.5                            ,1.8                            ,2                              ,2.8                            ,1.9                            ,1.6                            ,1                              ,1.2                            ,2.4                            ,1.9                            ,2.7                            ,0.9                            ,0.3                            ,0.6                            ,0.3                            ,0.3                            ,0                              
臺東                  ,2020/07/07 00:00:00 ,NO2                 ,5.5                            ,4.8                            ,4.4                            ,3.3                            ,3.2                            ,3.1                            ,3.2                            ,3.6                            ,3.9                            ,4.2                            ,4.9                            ,4.2                            ,3.5                            ,2.7                            ,4.2                            ,5.4                            ,5.1                            ,7.8                            ,4.7                            ,4.6                            ,4                              ,9.1                            ,7.8                            ,3.1                            
臺東                  ,2020/07/07 00:00:00 ,NOx                 ,8.5                            ,4.5                            ,4.4                            ,3.2                            ,3.2                            ,3.1                            ,4.3                            ,5                              ,5.6                            ,6.2                            ,7.6                            ,6.1                            ,5.1                            ,3.7                            ,5.4                            ,7.8                            ,7.1                            ,10.6                           ,5.6                            ,5                              ,4.6                            ,9.5                            ,8.1                            ,2.7                            
臺東                  ,2020/07/07 00:00:00 ,O3                  ,12                             ,10.5                           ,7.9                            ,7.7                            ,6.8                            ,8.7                            ,8.5                            ,14.1                           ,20.7                           ,23                             ,25.8                           ,27.3                           ,30.1                           ,31.6                           ,30.4                           ,28.8                           ,29.8                           ,25                             ,25.3                           ,25.4                           ,24                             ,17.6                           ,15.7                           ,24.9                           
臺東                  ,2020/07/07 00:00:00 ,PM10                ,22                             ,25                             ,14                             ,16                             ,5                              ,14                             ,17                             ,22                             ,28                             ,20                             ,18                             ,23                             ,20                             ,17                             ,15                             ,20                             ,18                             ,21                             ,23                             ,24                             ,18                             ,26                             ,21                             ,17                             
臺東                  ,2020/07/07 00:00:00 ,PM2.5               ,8                              ,5                              ,5                              ,5                              ,2                              ,2                              ,6                              ,4                              ,6                              ,6                              ,7                              ,6                              ,5                              ,4                              ,5                              ,4                              ,3                              ,4                              ,6                              ,6                              ,5                              ,2                              ,7                              ,5                              
臺東                  ,2020/07/07 00:00:00 ,RAINFALL            ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              
臺東                  ,2020/07/07 00:00:00 ,RH                  ,76                             ,74.5                           ,79                             ,79.3                           ,79.5                           ,79.2                           ,76.1                           ,70.6                           ,70.5                           ,66.7                           ,59                             ,60.7                           ,56.6                           ,53.7                           ,54                             ,53.6                           ,60.8                           ,64.8                           ,66.7                           ,69.2                           ,69.5                           ,69.4                           ,72.1                           ,79.7                           
臺東                  ,2020/07/07 00:00:00 ,SO2                 ,1.4                            ,1.3                            ,1.5                            ,1.2                            ,1.2                            ,1.2                            ,1.3                            ,1.3                            ,1.3                            ,1.3                            ,1.4                            ,1.3                            ,1.4                            ,1.4                            ,1.3                            ,1.3                            ,1.3                            ,1.3                            ,1.3                            ,1.2                            ,1.3                            ,1.4                            ,1.3                            ,1.3                            
臺東                  ,2020/07/07 00:00:00 ,WD_HR               ,220                            ,282                            ,6                              ,319                            ,312                            ,321                            ,326                            ,1                              ,67                             ,69                             ,67                             ,89                             ,93                             ,126                            ,67                             ,73                             ,60                             ,39                             ,23                             ,27                             ,18                             ,234                            ,223                            ,228                            
臺東                  ,2020/07/07 00:00:00 ,WIND_DIREC          ,230                            ,44                             ,327                            ,338                            ,317                            ,311                            ,327                            ,44                             ,71                             ,71                             ,87                             ,82                             ,96                             ,127                            ,60                             ,73                             ,61                             ,23                             ,26                             ,37                             ,1                              ,230                            ,226                            ,227                            
臺東                  ,2020/07/07 00:00:00 ,WIND_SPEED          ,0.88                           ,0.71                           ,0.94                           ,0.98                           ,1.03                           ,1.36                           ,1.41                           ,1.84                           ,2.07                           ,1.88                           ,2.87                           ,2.25                           ,1.51                           ,1.6                            ,2.31                           ,2.75                           ,1.86                           ,2.18                           ,2.16                           ,2.43                           ,0.74                           ,1.69                           ,1.9                            ,1.63                           
臺東                  ,2020/07/07 00:00:00 ,WS_HR               ,0.89                           ,0.23                           ,0.5                            ,0.79                           ,1.05                           ,1                              ,1.1                            ,0.95                           ,1.6                            ,1.34                           ,1.74                           ,1.82                           ,1.24                           ,1.36                           ,1.64                           ,1.92                           ,1.65                           ,1.49                           ,1.73                           ,1.69                           ,1.26                           ,1.06                           ,1.28                           ,1.55                           
